Tahun,USD,JPY,DEM,NLG,GBP,FRH,CHF,SGD,MYR,HKD,AUD,CAD
Februari,"14,234.00","13,019.00",0,0,"18,343.00",0,"14,690.00","10,187.00","3,375.00","1,826.00","9,336.00","10,611.00"
Januari,"13,662.00","12,524.00",0,0,"17,898.00",0,"14,085.00","10,035.00","3,343.00","1,758.00","9,180.00","10,347.00"
2019,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"13,901.00","12,797.00",0,0,"18,250.00",0,"14,366.00","10,321.00","3,397.00","1,785.00","9,739.00","10,654.00"
November,"14,102.00","12,878.00",0,0,"18,205.00",0,"14,120.00","10,325.00","3,381.00","1,801.00","9,542.00","10,615.00"
Oktober,"14,008.00","12,891.00",0,0,"18,104.00",0,"14,190.00","10,294.00","3,354.00","1,788.00","9,700.00","10,643.00"
September,"14,174.00","13,136.00",0,0,"17,418.00",0,"14,302.00","10,258.00","3,385.00","1,808.00","9,585.00","10,708.00"
Agustus,"14,237.00","13,365.00",0,0,"17,344.00",0,"14,417.00","10,247.00","3,369.00","1,815.00","9,559.00","10,707.00"
Juli,"14,026.00","12,921.00",0,0,"17,044.00",0,"14,160.00","10,234.00","3,397.00","1,792.00","9,652.00","10,676.00"
Juni,"14,141.00","13,139.00",0,0,"17,915.00",0,"14,494.00","10,446.00","3,413.00","1,810.00","9,904.00","10,797.00"
Mei,"14,385.00","13,164.00",0,0,"18,143.00",0,"14,301.00","10,425.00","3,427.00","1,833.00","9,945.00","10,630.00"
April,"14,215.00","12,737.00",0,0,"18,395.00",0,"13,946.00","10,437.00","3,438.00","1,812.00","10,022.00","10,563.00"
Maret,"14,244.00","12,856.00",0,0,"18,609.00",0,"14,309.00","10,507.00","3,490.00","1,815.00","10,098.00","10,610.00"
Februari,"14,062.00","12,683.00",0,0,"18,710.00",0,"14,065.00","10,425.00","3,454.00","1,791.00","10,040.00","10,691.00"
Januari,"14,072.00","12,926.00",0,0,"18,462.00",0,"14,170.00","10,446.00","3,439.00","1,794.00","10,211.00","10,709.00"
2018,0,0,0,0,0,0,0,0,0,0,0,0
Desember,"14,481.00","13,112.00",0,0,"18,373.00",0,"14,710.00","10,603.00","3,493.00","1,849.00","10,211.00","10,624.00"
November,"14,339.00","12,646.00",0,0,"18,327.00",0,"14,394.00","10,460.00","3,424.00","1,833.00","10,493.00","10,794.00"
Oktober,"15,227.00","13,459.00",0,0,"19,354.00",0,"15,152.00","10,989.00","3,639.00","1,941.00","10,792.00","11,610.00"
September,"14,929.00","13,145.00",0,0,"19,527.00",0,"15,283.00","10,919.00","3,606.00","1,910.00","10,771.00","11,466.00"
Agustus,"14,711.00","13,256.00",0,0,"19,142.00",0,"15,190.00","10,760.00","3,580.00","1,874.00","10,665.00","11,302.00"
Juli,"14,413.00","12,983.00",0,0,"18,912.00",0,"14,593.00","10,585.00","3,546.00","1,836.00","10,692.00","11,033.00"
Juni,"14,404.00","13,037.00",0,0,"18,835.00",0,"14,442.00","10,530.00","3,561.00","1,835.00","10,582.00","10,864.00"
Mei,"13,951.00","12,840.00",0,0,"18,553.00",0,"14,111.00","10,414.00","3,511.00","1,778.00","10,546.00","10,832.00"
April,"13,877.00","12,719.00",0,0,"19,119.00",0,"14,047.00","10,489.00","3,541.00","1,768.00","10,503.00","10,806.00"
Maret,"13,756.00","12,906.00",0,0,"19,365.00",0,"14,388.00","10,487.00","3,557.00","1,753.00","10,528.00","10,647.00"
