iter	Passed	Remaining
705	1082	450
706	1084	449
707	1085	447
708	1086	446
709	1088	444
710	1089	442
711	1091	441
712	1092	439
713	1093	438
714	1095	436
715	1097	435
716	1098	433
717	1100	432
718	1101	430
719	1102	428
720	1104	427
721	1105	425
722	1107	424
723	1108	422
724	1110	421
725	1111	419
726	1113	418
727	1114	416
728	1116	414
729	1117	413
730	1118	411
731	1120	410
732	1121	408
733	1122	406
734	1124	405
735	1126	404
736	1128	402
737	1129	401
738	1130	399
739	1132	397
740	1133	396
741	1135	394
742	1136	393
743	1137	391
744	1139	390
745	1141	388
746	1142	387
747	1144	385
748	1145	384
749	1147	382
750	1149	380
751	1150	379
752	1151	377
753	1153	376
754	1155	374
755	1157	373
756	1158	372
757	1160	370
758	1161	368
759	1163	367
760	1164	365
761	1166	364
762	1167	362
763	1169	361
764	1170	359
765	1172	358
766	1173	356
767	1175	355
768	1176	353
769	1178	351
770	1179	350
771	1180	348
772	1182	347
773	1183	345
774	1185	344
775	1186	342
776	1188	341
777	1189	339
778	1191	337
779	1192	336
780	1193	334
781	1195	333
782	1196	331
783	1198	330
784	1200	328
785	1201	327
786	1203	325
787	1204	324
788	1205	322
789	1207	320
790	1208	319
791	1210	317
792	1211	316
793	1213	314
794	1215	313
795	1216	311
796	1218	310
797	1219	308
798	1220	307
799	1222	305
800	1223	304
801	1225	302
802	1226	300
803	1228	299
804	1229	297
805	1231	296
806	1233	294
807	1234	293
808	1236	291
809	1237	290
810	1238	288
811	1240	287
812	1241	285
813	1243	284
814	1245	282
815	1246	281
816	1248	279
817	1249	278
818	1250	276
819	1252	274
820	1253	273
821	1255	271
822	1256	270
823	1258	268
824	1260	267
825	1261	265
826	1263	264
827	1264	262
828	1266	261
829	1267	259
830	1268	258
831	1270	256
832	1271	254
833	1273	253
834	1275	251
835	1276	250
836	1277	248
837	1279	247
838	1280	245
839	1282	244
840	1283	242
841	1285	241
842	1286	239
843	1288	238
844	1289	236
845	1291	235
846	1292	233
847	1294	231
848	1295	230
849	1296	228
850	1298	227
851	1299	225
852	1301	224
853	1302	222
854	1304	221
855	1305	219
856	1307	218
857	1308	216
858	1309	215
859	1311	213
860	1312	211
861	1314	210
862	1315	208
863	1317	207
864	1319	205
865	1320	204
866	1321	202
867	1323	201
868	1324	199
869	1326	198
870	1327	196
871	1329	195
872	1330	193
873	1332	192
874	1333	190
875	1335	189
876	1337	187
877	1339	186
878	1340	184
879	1341	182
880	1343	181
881	1344	179
882	1346	178
883	1347	176
884	1349	175
885	1350	173
886	1352	172
887	1353	170
888	1354	169
889	1356	167
890	1357	166
891	1358	164
892	1360	163
893	1362	161
894	1363	159
895	1365	158
896	1366	156
897	1367	155
898	1369	153
899	1370	152
900	1372	150
901	1373	149
902	1374	147
903	1376	146
904	1378	144
905	1379	143
906	1381	141
907	1382	140
908	1383	138
909	1385	136
910	1386	135
911	1387	133
912	1389	132
913	1390	130
914	1392	129
915	1394	127
916	1395	126
917	1397	124
918	1399	123
919	1400	121
920	1402	120
921	1403	118
922	1405	117
923	1407	115
924	1408	114
925	1410	112
926	1411	111
927	1413	109
928	1414	108
929	1415	106
